Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;2238809856;294474490,208856;936,4153;41,67843;11;282,1026;False
2;2200941824;709318979,433206;913,5802;40,46561;11;282,1026;False
3;2395630080;1063919163,7585;936,7603;40,26862;11;282,1026;False
4;2768491264;1091126683,13773;914,7542;36,28363;11;282,1026;False
5;2270761984;935962462,827567;935,0752;41,27734;11;282,1026;False
6;2825451264;1273315591,62422;915,0524;35,96216;11;252,1745;False
7;2218963200;1405064831,17327;930,4;41,45093;11;282,1026;False
8;3193640192;1479814061,25478;1358,42;76,97766;11;222,0825;False
9;2551977984;1548880550,73994;921,6396;38,10181;10;267,4942;False
10;3060618752;1431502832,53724;1347,333;79,22607;12;244,3642;False
11;5894076416;1600101482,83553;1750;107,8048;9;225,5043;True
12;5905664000;1880378434,75585;1750;107,0371;9;225,5043;True
13;5951459328;1866479336,16311;1750;104,2031;9;225,5043;True
14;6322007040;2509696918,92744;1750;88,61792;11;241,5857;True
15;5920448000;2035522078,28182;1750;106,0886;8;225,0455;True
16;6091279872;3347083801,6;1750;97,09351;9;226,5994;True
17;6061588992;3719906534,34609;1750;98,44312;9;226,5994;True
18;6162503680;3588661169,96531;1750;94,13403;9;223,5926;True
19;6195261440;3970056478,20617;1750;92,88794;9;223,5926;True
20;6165686784;4781112547,50708;1750;94,01001;9;224,0164;True
21;6238015488;4079652206,15979;1750;91,3562;9;224,8181;True
22;6171310080;3736653622,75363;1750;93,79248;9;224,2566;True
23;6321171968;3820180709,63978;1750;88,64355;9;228,0804;True
24;6272750592;3386510893,48081;1750;90,18311;9;228,0804;True
25;6345428992;4935115703,23857;1750;87,91064;9;225,436;True
26;6314401792;3670792929,65683;1750;88,85254;9;228,7081;True
27;6233179136;4170535897,73949;1750;91,52441;9;228,7081;True
28;6346135552;4062908155,7092;1750;87,88965;9;228,7081;True
29;6257768960;4135708257,95353;1750;90,68164;9;228,7081;True
30;6578745856;4932725317,89483;1750;81,90234;9;231,4476;True
