Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;2127543808;281826816,96958;372,0752;20,90512;14;291,1209;False
2;12458688512;1250397032,4671;547;24,27147;12;369,491;True
3;4382348800;740941808,325895;496,396;25,10484;14;338,8576;False
4;3624018688;796054939,153125;463,9661;24,67218;12;397,5215;False
5;2220081152;476219302,42099;374,4318;20,32431;13;375,8734;False
6;4643460096;1037075415,27625;499,4622;23,80267;14;295,1294;False
7;4602756096;951129023,976496;494,8376;23,2132;12;374,1494;False
8;4171374080;922955541,637158;491,6335;25,82983;12;375,8827;False
9;13914708992;2310584501,89063;547;20,34448;12;374,5766;True
10;4603684864;2059070945,44531;497,4709;23,69641;12;373,8512;False
11;5757511680;1830092290,35078;527,7141;22,31262;12;374,7056;False
12;11885890560;2084458371,2668;547;26,38379;12;373,8512;True
13;13019816960;2913375380,72013;547;22,55536;13;370,9074;True
14;5346834432;1632867322,63338;526,3121;24,31824;13;377,145;False
15;13577610240;2270843130,26918;547;21,11334;13;373,1967;True
16;4929981952;1495908010,68028;494,5417;21,2431;12;371,2045;False
17;5766972416;1396125096,91006;528,2733;22,35596;13;377,2657;False
18;14145353728;1900547056,29531;547;19,85645;13;377,1399;True
19;12547270656;1976752832,82004;547;23,97986;13;377,1399;True
20;13899536384;2536644388,97127;547;20,37762;14;379,4122;True
21;11925426176;1504035592,8126;547;26,22394;14;379,9692;True
22;13335284736;1928727011,9063;547;21,71161;12;383,082;True
23;14041256960;3719559066,80399;547;20,07312;12;379,7285;True
24;12988216320;2495888069,76641;547;22,64429;12;377,3232;True
25;13236824064;1905973084,05;547;21,96667;13;373,9817;True
26;5095857664;1525683402,85313;527,3342;26,203;12;379,3291;False
27;6225941504;1369916228,52022;526,3111;20,09314;12;370,5641;False
28;5831696896;912996566,202095;529,6245;22,25745;13;371,0533;False
29;13278469120;1493138596,48218;547;21,85791;12;379,326;True
30;5633382400;1791133711,1966;526,4047;22,72327;12;375,2516;False
